,Date,FN,LN,School,OQ,LOD,WTA,Course,for credit,textbook used,grade received,attendence,comment,num found this useful,num did not find this useful,gives good feedback,respected,lots of homework,accessible outside class,get ready to read,participation matters,skip class? you won't pass.,inspirational,graded by few things,test heavy,group projects,clear grading criteria,hilarious,beware of pop quizzes,amazing lectures,lecture heavy,caring,extra credit,so many papers,tough grader
15, 06/09/2016,Aaron,Stevens,Boston University,2.0,5.0,No,CS111,Yes,Yes,N/A,Mandatory,"He talks about abs nothing in class because he expects students to understand everything by watching the videos he makes for the course. Generally, he just does clicker questions in class and he can make a long lecture short bc he talks about nothing. He's funny tho.",6,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16, 04/17/2016,Aaron,Stevens,Boston University,4.0,2.0,N/A,MA120,Yes,Yes,A,Mandatory,"Coming from a student that's not mathematically inclined I was really worried about this class, but it's probably the most clearcut class at BU. Read the book, take the pre-class quizzes and study for a couple hours before the quizzes and there's no reason why you shouldn't an A. Stevens also gives you an extra overal grade point if you go to class",0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17, 03/18/2016,Aaron,Stevens,Boston University,1.5,5.0,N/A,CS108,Yes,No,N/A,Mandatory,"He doesn't do anything in class, all his lectures are in the videos. I'm fine with video, but he doesn't explain well in the videos.  The quiz and lab exam is way off the chart. Even tho you get the correct answers he will deduct from procedures. THAT'S RIDICULOUS!!! He explains really fast just like you know everything before class. BAD BAD BAD",9,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18, 01/28/2016,Aaron,Stevens,Boston University,2.0,5.0,N/A,CS108,Yes,No,B,Mandatory,You are expected to spend 10 hours every week to work on 2 homeworks and 2 preassignments. This guy is so lazy and he doesn't care about his students at all. His quizzes are impossible.  The most time consuming class I took here and it's very easy to get a C,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19, 01/26/2016,Aaron,Stevens,Boston University,4.0,3.0,N/A,CS111,Yes,No,B,Mandatory,"In Fall 2015 they completely changed the course in response to student feedback, and the new course outline is good for people with no previous CS experience. That said, I think this new outline fits to his teaching style better, and he does try to make lectures more survivable. He is also good at explaining and the course is armed with TFs and TAs",2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20,01/18/2016,Aaron,Stevens,Boston University,2.0,5.0,N/A,CS108,Yes,No,B+,Not Mandatory,"Too bad this is the only option for CS 108. Mr. Stevens does not seem to understand that non-cs major are just taking this class as an elective. His assignments are a lot more difficult than the hw and extremely time consuming. It's a 70 people class with only 2 TAs, so you will always have to wait to get help",11,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
21,12/06/2015,Aaron,Stevens,Boston University,5.0,3.0,Yes,MA120,Yes,Yes,A,Mandatory,I really enjoyed taking class with him.,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
22,12/06/2015,Aaron,Stevens,Boston University,1.5,5.0,N/A,CS108,N/A,Yes,Not sure yet,Mandatory,"This professor is LAZY. All of his lecture videos are in Python 2, then he expects you to ""learn the difference"" & write in Python 3 (which is like teaching Spanish but asking you to write the papers in French) He messes up his own starter code. Even worse, he is condescending when you ask for help. Do not take this class.",11,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
23,10/15/2015,Aaron,Stevens,Boston University,5.0,1.0,Yes,CS111,Yes,Yes,Not sure yet,Mandatory,"I love this guy. So nice, and is always willing to slow down and answer questions. The actual coursework is the same as with the CS111 sections taught by Prof. Sullivan, FYI. Overall I found the course pretty easy. I can't speak for Aaron's (yes, first name basis) handling of CS101/CS108/MAxxx that he also may teach, however.",2,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,05/17/2015,Aaron,Stevens,Boston University,1.5,3.0,N/A,MA120,Yes,Yes,N/A,N/A,"Be prepared to teach yourself everything. He does not lecture at all in class. His flipped classroom model is really bad. The quizzes do not test anything to do with math, but rather how well you memorize his book. Although the class title is Applied Math, there was absolutely no math involved in the class. It just involved memorizing definitions.",6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,05/09/2015,Aaron,Stevens,Boston University,1.0,5.0,N/A,CS108,Yes,No,B+,Mandatory,"I love computer science, but this professor turned my passion from coding away so quickly. His assignments were unclear most of the time and I worked very hard to try to understand them. I did not get the help I received at all from this class. He was even rude to me in office hours, as if asking questions is bad.",23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,05/05/2015,Aaron,Stevens,Boston University,2.0,4.0,N/A,CS108,Yes,No,N/A,N/A,"Professor Stevens might be a good guy, but he is just genuinely lazy. The flipped classroom schedule ensures that he hardly ever does anything. His quizzes are difficult and if you don't say exactly what the graders want to hear you lose points. Just an unclear and unhelpful class which is a shame because it is very interesting material.",13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,01/26/2015,Aaron,Stevens,Boston University,1.0,5.0,N/A,MA120,Yes,No,N/A,N/A,"Easily the worst teacher Ive ever come across in my life, he doesn't even teach. If you want to learn about a subject don't take it with him, he's really good at looking at his phone and talking about himself. WORST PROFESSOR IN HISTORY",14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,01/12/2015,Aaron,Stevens,Boston University,3.5,4.0,N/A,101,Yes,No,B-,Mandatory,"For the quizzes you have to know exactly what the grader wants to hear word by word. So if you miss lectures you are screwed and will not pass . Sevens is really helpful . The LAB hours by the TF's will save your life and the class is very time consuming.... The graders are super tough so be prepared for that , The final exam will save your life",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
29,11/17/2014,Aaron,Stevens,Boston University,3.0,5.0,N/A,CS108,Yes,No,INC,Mandatory,"CS108 is the hardest thing I've ever taken. Aaron talks a lot in class, but never gets to the point. Workload is insane. 6 written quizzes during semester, that are really hard. Take the class only if you know computer science well, otherwise this is gonna be a nightmare. I spent 5 hours in TA's office every week. I wish I dropped the class earlier",6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,10/22/2014,Aaron,Stevens,Boston University,1.0,5.0,N/A,CS111,Yes,Yes,N/A,Mandatory,"I'm sure Prof. Stevens is a nice guy outside the classroom, but as a professor I found him to be harsh and judgemental.  I was going through some family problems at the time, and I tried to communicate this to him as I had to do some unforeseen travel, but he wouldn't hear it. Every other professor for my classes was fine except him. Downer IMHO.",8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,10/14/2014,Aaron,Stevens,Boston University,5.0,2.0,Yes,CS101,Yes,No,N/A,N/A,"No reading. No papers. No essays. Homework are long but easy, basic logic in this class will get you an A. For the exams and quizzes just memorize definitions and understand the logic behind each lesson. Recommended if you're avoiding workload and reading. Easy A.",0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
32,06/30/2014,Aaron,Stevens,Boston University,5.0,4.0,N/A,CS111,N/A,No,N/A,N/A,"The work load is crazy but how do you expect to learn coding if you don't code? He has an optional final. TAKE THE FINAL, he recycles past quiz questions so you will do fine. Go to his office hours if you have a problem with your assignment! If he sees that you have tried he will help you out. I learned a lot from this class :)",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,05/03/2014,Aaron,Stevens,Boston University,3.0,5.0,N/A,CS101,N/A,No,N/A,Mandatory,"Stevens seems like a nice enough guy and does try to help you understand concepts, but the workload is ridiculous and the grading is harsh. Definitely not an easy class. I spent most of my free time in office hours, as concepts that were explained in class were not necessarily applicable to the homework assignments.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,04/26/2014,Aaron,Stevens,Boston University,2.0,4.0,N/A,CS101,N/A,No,N/A,N/A,Taking this class (especially as a Senior) to fulfill a math/cs requirement WILL BE THE WORST DECISION OF YOUR COLLEGE LIFE. The homework will take you longer than your graduate level seminars in your major. It will teach you how to use the most terrible and outdated program called Alice that will have no application in the real world. Don't do it!,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,02/24/2014,Aaron,Stevens,Boston University,4.0,4.0,N/A,CS108,N/A,Yes,N/A,N/A,"It's pretty tough for an introductory class but I loved it! You gotta put in the work for an A. Workload is insane and I spent a lot of time at the TA's office hours. BUT, I learnt so much and I found the class to be really interesting. When you get that code to work, it's the most rewarding feeling ever. Go to his office hours! Helps so much!",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,02/24/2014,Aaron,Stevens,Boston University,1.0,4.0,N/A,CS101,N/A,No,N/A,Mandatory,"Worst class I've taken at BU. Prof Stevens does nothing but make smart ass remarks and talk about his kids, yet he takes roll in massive lecture hall. Alice is the worst java program ever and the skills learned in this class are 100% outdated and inapplicable. Find another course to fill you MCS requirement--or at least another professor.",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,01/23/2014,Aaron,Stevens,Boston University,1.5,5.0,N/A,CS101,N/A,No,N/A,N/A,The grading is ridiculous. He literally is the least helpful professor at BU and he takes all his personal problems out on the class. He seems like a nice guy at first but by the ens of the semester you will be wondering why you didn't switch out. Honestlt I had to teach nyself everything in that course. He and the textbook are useless.,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,12/16/2013,Aaron,Stevens,Boston University,1.5,3.0,N/A,EC171,N/A,No,N/A,N/A,"Stevens was a great at doing absolutely nothing for his class and having zero responsibilities! He uses a ""flipped classroom"" model, so you teach yourself everything at home, and then come in to class and do all the work on your own. So yeah, he does nothing! Except awkwardly stand in front of class and wonder why nobody respects him.",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,12/14/2013,Aaron,Stevens,Boston University,2.5,4.0,N/A,CS101,N/A,No,N/A,N/A,"This class is so unreasonable. The professor and assistants are quite unhelpful. Also, the Alice assignments are impossible as the skills necessary for completion are not fully taught. To top it off, the graders are very harsh.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,12/13/2013,Aaron,Stevens,Boston University,4.5,4.0,N/A,CS101,N/A,No,N/A,N/A,"Stevens is surprisingly interesting and really cares about what he teaches. You will work hard, but there is a lot of help available. Bottom line, I'm taking CS 108 with him next semester and I'm totally not a math/science person. Take it!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,11/03/2013,Aaron,Stevens,Boston University,1.5,4.0,N/A,CS101,N/A,No,N/A,N/A,"Stevens is unhelpful and condescending. His homeworks are purposefully overly time-consuming, and his quizzes have little to nothing to do with them or the labs.",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,11/02/2013,Aaron,Stevens,Boston University,2.0,3.0,N/A,EC171,N/A,Yes,N/A,N/A,"Is a crook. Textbook is a draft. Gets in trouble for grades being too high, has a quota to follow. Got at least an 89.5 didn't round up. Final project option is to edit his book. Can easily get a B, but an A is hard because of his grade deflation. Gave me a 95% on final paper worth %20, with no negative comments to prevent me from getting an A-.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,09/30/2013,Aaron,Stevens,Boston University,5.0,3.0,N/A,CS101,N/A,No,N/A,N/A,"Professor Stevens is great! He genuinely cares about his students. He's so nice and helpful, especialy if you show effort and go to office hours! His homeworks are a drag, but go to office hours! Study for quizzes with classmates and his questions are based on the objectives on the powerpoint. I hear 101 isnt real compsci though.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,05/29/2013,Aaron,Stevens,Boston University,2.0,3.0,N/A,CS101,N/A,No,N/A,N/A,"One of the worst professors I had at BU. I had an A, broke my ankle on the way to class, and he would not let me make it up. He gave me a 0 flat our and dropped by grade to a B+. Completely condescending and unwilling to discuss the circumstances of my grade. Otherwise, class is bland, workload is average - relatively easy and boring.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,05/08/2013,Aaron,Stevens,Boston University,5.0,2.0,N/A,CS101,N/A,No,N/A,N/A,"Very easy class and definitely GPA booster. Stevens is very clear on concepts and makes passing the class easy with quizzes every other week covering material from 2 weeks. If you do well on all the quizzes + homeworks, you don't have to do the final. Quizzes + homeworks are easy. Easy grader. Very helpful outside class.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,05/02/2013,Aaron,Stevens,Boston University,2.0,4.0,N/A,CS101,N/A,No,N/A,N/A,"Prof. Stevens is nice, but will make you hate computers. His assignments are unneccessarily difficult and takes hours to finish every week... even if you work your ass off. This class was so draining and it's super difficult to get any help from him unless you can make an appointment a week or two ahead of time",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,04/02/2013,Aaron,Stevens,Boston University,1.5,5.0,N/A,EC171,N/A,Yes,N/A,N/A,"By ""flipping the classroom"" he basically does zero work. It's a genius idea for himself because he can just stand there and answer questions and then require his students to go home, do homework at home, then come to come to do in-class assignments, and then assign a quiz every 2 weeks. Hardest 100 level class. Do not take. Terrible.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,01/06/2013,Aaron,Stevens,Boston University,5.0,2.0,N/A,EC171,N/A,Yes,N/A,N/A,"Anyone who's criticized Stevens is crazy.  EC 171 is the best class that I've ever taken in my entire educational life.  If you're interested in knowing enough to feel confident with your own finances, then take this course!  I recommend it to everyone.  Homework was easy and fun, and the quizzes were fair.  With some effort you'll get an A!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,12/18/2012,Aaron,Stevens,Boston University,3.5,1.0,N/A,CS101,N/A,No,N/A,N/A,"Stevens is GREAT. really nuturing like a dad, and the class is an easy A.  Quizzes require you to study, but homeworks and lab are a breeze.  If you need some GPA padding, take this class",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,12/16/2012,Aaron,Stevens,Boston University,5.0,2.0,N/A,CS101,N/A,Yes,N/A,N/A,"Stevens is a really great professor. He has ample amounts of patience, is excellent at explaining concepts, and is a genuinely nice person. Assignments were sometimes complex, but nothing too difficult or time consuming, and Stevens always makes himself available for assistance. All in all, I would highly recommend taking one of his courses.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,12/04/2012,Aaron,Stevens,Boston University,4.5,1.0,N/A,CS101,N/A,No,N/A,N/A,"Great guy who greats very easily.  Gets back to emails incredibly fast with useful information.  Homeworks can usually be completed in less than an hour and are due weekly.  If you do the homework and show up for class, there's no reason not to get an A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,08/15/2012,Aaron,Stevens,Boston University,4.5,2.0,N/A,CS111,N/A,No,N/A,N/A,"This professor is funny, albeit corny, entertaining, and really wants you to get interested in the course. I took the summer course, so the class was crunched into a month, but it was a great experience. Lots of HW, but totally doable if you're in a normal semester. I did around 1-2 hours per day, which wasn't bad at all for a summer course.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,07/23/2012,Aaron,Stevens,Boston University,2.0,5.0,N/A,EC171,N/A,No,N/A,N/A,"Quite honestly one of the worst classes at BU. I took it because I thought I would learn something but really ended up spending hours and hours doing homework that wash graded extremely harshly. Its a 100 level class, but don't be fooled, it'll take up as much time as a 400 level one. Prof. Stevens is very condescending. STAY AWAY FROM EC 171",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,05/07/2012,Aaron,Stevens,Boston University,4.0,3.0,N/A,CS101,N/A,No,N/A,N/A,"You really have to put in the work. The material isn't difficult and he does a good job of explaining it but you have to do the homework, go to labs, and study for the quizzes all of which can be pretty time consuming. The graders were a little harsh if you left out information. The homework could be confusing but the TF was very helpful.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,05/03/2012,Aaron,Stevens,Boston University,3.0,5.0,N/A,EC171,N/A,No,N/A,N/A,I took this class to learn useful financial information but I did not learn ANYTHING. It's all hypothetical unrealistic situations that do not apply to the real world. If you want an easy A don't take this course. He's condescending and thinks student's do not know anything about life outside of college. Definitely disappointed by this course.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,12/22/2011,Aaron,Stevens,Boston University,3.5,4.0,N/A,CS101,N/A,No,N/A,N/A,"Lectures can be a little dry, I didn't take any notes and just sat there listening most of the time since all his power points are online. Stevens is a pretty nice guy and answers emails right away. You always know where you stand academically since he posts every grade. HWs are time consuming but can be fun and creative if you want them to be.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,12/20/2011,Aaron,Stevens,Boston University,1.5,5.0,N/A,CS101,N/A,No,N/A,N/A,This guy was unbelievable. Tells you the class is really easy at the beginning of the year and that it isn't too time consuming and then continues to assign work that is impossible unless you have a background in programming or whatever program he is using. There is no guideline to go back to. Homework is worth 35% of your grade and is impossible.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,10/04/2011,Aaron,Stevens,Boston University,5.0,1.0,N/A,ECON171,N/A,No,N/A,N/A,Fantastic teacher and a really really good course. I would definitely take it if i had a free elective. He makes things easy to understand and he's quite funny as well. Definitely my favorite class.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,08/16/2011,Aaron,Stevens,Boston University,5.0,2.0,N/A,CS111,N/A,Yes,N/A,N/A,wonderful class and go for it!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,08/16/2011,Aaron,Stevens,Boston University,5.0,3.0,N/A,CS111,N/A,Yes,N/A,N/A,This is a perfect class for those who love programming. Aaron is very nice and the lectures are clear and helpful for quizzes and hws. Workload is a little heavy but worth it. You'll absolutely get a good grade if you really put in effort. Better to sit in front!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,06/29/2011,Aaron,Stevens,Boston University,4.5,2.0,N/A,CS111,N/A,No,N/A,N/A,"Because I took the summer course, it was a little intense with a lot of work to do at home, but Aaron is a great teacher. Very much enjoys what he does. If you do what's required and you have good logic skills, there is no reason why you shouldn't get a good grade. He's very good with giving you extra points if you talk to him about quizzes and hws",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,05/25/2011,Aaron,Stevens,Boston University,5.0,3.0,N/A,CS108,N/A,Yes,N/A,N/A,"Took Aaron's CS108 class. Fantastic teacher. One of the best I've had at BU. Very helpful outside of class, knows the material cold, has a gift with conveying technical information in a digestible format. The class isn't easy, but if you put the work in, you'll not only receive a great grade, but find it to be one of the most rewarding experiences.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,03/22/2011,Aaron,Stevens,Boston University,5.0,2.0,N/A,CS101,N/A,No,N/A,N/A,"Great professor. 1-2 hours a week of HW. This class is only &quot;hard&quot; if you don't know how to open files on a computer, but if you hate computers, don't take it. Don't buy the books, he'll tell you everything for quizzes. There are 6 small quizzes instead of a midterm. Check out the course website to see the syllabus and schedule (google BU CS101).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,01/15/2011,Aaron,Stevens,Boston University,4.0,3.0,N/A,CS101,N/A,No,N/A,N/A,"This class is extremely useful. It requires hardly any math skills, and although homework assignments seem hard, if you go for extra help you're almost guaranteed to do well. Stevens grades extremely fairly. As long as you keep up with your work, the class will be engaging and easy for anyone.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,12/23/2010,Aaron,Stevens,Boston University,4.5,4.0,N/A,CS101,N/A,No,N/A,N/A,"Many think this will be an easy intro class. No, its tough but its worth taking. Stevens is a fair and clear professor and his powerpoints drive home his major points. The quizzes are based on these. I had no prior comp. knowledge and did great.  The TF's will help with HW and by end you have a personal website and ability to use many programs!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,12/18/2010,Aaron,Stevens,Boston University,4.0,3.0,N/A,CS101,N/A,No,N/A,N/A,"The class is a great introduction to computer science. Aspects are challenging but Stevens is always ready to help when it's needed. Homeworks can take a long time but they're not very difficult if you go to class and are familiar with the material. Overall, a pretty good class.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,12/17/2010,Aaron,Stevens,Boston University,4.5,2.0,N/A,EC171,N/A,No,N/A,N/A,"This class was interesting and had a lot of useful personal finance info. Although some topics can be dry, Aaron tries to make the lectures interesting. He is a nice professor with a sense of humor. The HW only takes about an hour each week and quizzes aren't bad if you study a little. I recommend this class, especially for SMG students",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,12/15/2010,Aaron,Stevens,Boston University,2.5,5.0,N/A,CS101,N/A,No,N/A,N/A,"The homework is like having a huge term project every week. It's ridiculous. Aaron is a nice man and attempts to make lectures interesting. However, it's just a tough class. Be prepared to devote 5 hours a week outside of class to the homework. On top of this, it's very hard to also keep up with the reading AND study for quizzes, which are killer.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
